# ind1,ind2,ind1_snps,ind2_snps,both_snps,match,match_perc,pop
KP0438_HU_CA05,KP1116_AC_CA20,25219,25105,24944,24600,98.62,AC_CA20-HU_CA05
KP0429_HU_CA05,KP1116_AC_CA20,23835,25105,23560,23236,98.62,AC_CA20-HU_CA05
KP0429_HU_CA05,KP0552_AC_WP20,23833,25014,23467,23142.5,98.62,AC_WP20-HU_CA05
KP0425_HU_CA05,KP1116_AC_CA20,25198,25105,24923,24579,98.62,AC_CA20-HU_CA05
KP0421_HU_CA05,KP0920_HU_WP10,21575,24693,20888,20600,98.62,HU_CA05-HU_WP10
KP0183_AC_SQ12,KP0438_HU_CA05,24005,25218,23843,23514.5,98.62,AC_SQ12-HU_CA05
KP0092_AC_SB10,KP0552_AC_WP20,20999,25014,20633,20348.5,98.62,AC_SB10-AC_WP20
KP1036_UN_CA10,KP1153_UN_CA20,25094,24934,24648,24306,98.61,UN_CA10-UN_CA20
KP1003_HU_CA10,KP1153_UN_CA20,25119,24934,24673,24329,98.61,HU_CA10-UN_CA20
KP0959_HU_WP05,KP0985_AC_WP05,22956,24582,22158,21849.5,98.61,AC_WP05-HU_WP05
KP0951_HU_WP10,KP0972_HU_WP05,24898,21527,21045,20752,98.61,HU_WP05-HU_WP10
KP0845_AC_WP10,KP0935_AC_WP10,23414,24670,22704,22388,98.61,AC_WP10
KP0838_AC_WP10,KP0920_HU_WP10,20611,24693,19924,19646.5,98.61,AC_WP10-HU_WP10
KP0818_HU_WP10,KP0960_HU_WP05,24796,24294,23710,23381.5,98.61,HU_WP05-HU_WP10
KP0789_HU_WP10,KP0877_HU_WP10,20857,24461,19938,19661,98.61,HU_WP10
KP0764_HU_WP10,KP0877_HU_WP10,24794,24461,23875,23542.5,98.61,HU_WP10
KP0421_HU_CA05,KP0442_HU_CA05,21801,23222,19643,19370.5,98.61,HU_CA05
KP0184_AC_SQ12,KP1074_AC_CA20,24911,24092,23623,23293.5,98.61,AC_CA20-AC_SQ12
KP0886_AC_WP10,KP0985_AC_WP05,23959,24582,23161,22836.5,98.6,AC_WP05-AC_WP10
KP0829_AC_WP10,KP0859_HU_WP10,22327,22474,19421,19149.5,98.6,AC_WP10-HU_WP10
KP0774_AC_WP10,KP0960_HU_WP05,20857,24294,19771,19494,98.6,AC_WP10-HU_WP05
KP0774_AC_WP10,KP0783_HU_WP10,21090,23772,19482,19209.5,98.6,AC_WP10-HU_WP10
KP0552_AC_WP20,KP0639_LM_SB20,25042,24890,24552,24207.5,98.6,AC_WP20-LM_SB20
KP0429_HU_CA05,KP1003_HU_CA10,23850,25119,23589,23259,98.6,HU_CA05-HU_CA10
KP0416_HU_CA05,KP0439_HU_CA05,23877,24742,23239,22913.5,98.6,HU_CA05
KP0184_AC_SQ12,KP0552_AC_WP20,24790,25014,24424,24083,98.6,AC_SQ12-AC_WP20
KP0818_HU_WP10,KP0906_AC_WP10,24760,23566,22946,22623.5,98.59,AC_WP10-HU_WP10
KP0783_HU_WP10,KP0979_HU_WP05,23885,24824,23329,23000,98.59,HU_WP05-HU_WP10
KP0739_HU_WP10,KP0920_HU_WP10,25073,24693,24386,24043,98.59,HU_WP10
KP0639_LM_SB20,KP1074_AC_CA20,24900,24092,23612,23278.5,98.59,AC_CA20-LM_SB20
KP0417_HU_CA05,KP0429_HU_CA05,24059,23818,22497,22179.5,98.59,HU_CA05
KP0378_AC_WP20,KP0474_AC_WP20,18686,24391,17697,17447,98.59,AC_WP20
KP0159_AC_SQ12,KP0438_HU_CA05,23430,25218,23268,22939,98.59,AC_SQ12-HU_CA05
KP0111_AC_SB10,KP1074_AC_CA20,25134,24092,23846,23510.5,98.59,AC_CA20-AC_SB10
KP0092_AC_SB10,KP0099_AC_SB10,21750,23376,19746,19468,98.59,AC_SB10
KP1034_HU_CA10,KP1153_UN_CA20,24939,24934,24493,24144.5,98.58,HU_CA10-UN_CA20
KP0888_AC_WP10,KP0903_HU_WP10,23403,24848,22871,22545.5,98.58,AC_WP10-HU_WP10
KP0886_AC_WP10,KP0987_HU_WP05,24156,22932,21708,21400.5,98.58,AC_WP10-HU_WP05
KP0768_HU_WP10,KP0958_HU_WP05,23471,22979,21070,20771,98.58,HU_WP05-HU_WP10
KP0764_HU_WP10,KP1074_AC_CA20,24786,24092,23498,23163.5,98.58,AC_CA20-HU_WP10
KP0416_HU_CA05,KP0426_HU_CA05,23993,23707,22320,22002.5,98.58,HU_CA05
KP0159_AC_SQ12,KP0552_AC_WP20,23410,25014,23044,22716.5,98.58,AC_SQ12-AC_WP20
KP0134_HU_SB05,KP1074_AC_CA20,22829,24092,21541,21236,98.58,AC_CA20-HU_SB05
KP0110_AC_SB10,KP1074_AC_CA20,23721,24092,22433,22113.5,98.58,AC_CA20-AC_SB10
KP0098_AC_SB10,KP1074_AC_CA20,24831,24092,23543,23208.5,98.58,AC_CA20-AC_SB10
KP1033_HU_CA10,KP1153_UN_CA20,25113,24934,24667,24313.5,98.57,HU_CA10-UN_CA20
KP1005_HU_CA10,KP1153_UN_CA20,25199,24934,24753,24398.5,98.57,HU_CA10-UN_CA20
KP0985_AC_WP05,KP0989_HU_WP05,24656,24698,23974,23632,98.57,AC_WP05-HU_WP05
KP0972_HU_WP05,KP0973_HU_WP05,22208,22542,19370,19092.5,98.57,HU_WP05
KP0877_HU_WP10,KP0922_AC_WP10,24662,23000,22282,21962.5,98.57,AC_WP10-HU_WP10
