Individual,Site,Loc,Depth,x,y,z
KP0764_HU_WP10,WP10,WP,10,1.6037885203388,-26.952822698322,-8.95418333033832
KP0765_AC_WP10,WP10,WP,10,1.20279344343323,-27.890338731939,-8.29186018708605
KP0766_AC_WP10,WP10,WP,10,1.09612068782375,-27.1282639012431,-8.52163538330486
KP0767_AC_WP10,WP10,WP,10,0.964964813450812,-27.7151669624522,-8.15890595799532
KP0768_HU_WP10,WP10,WP,10,1.2990270881762,-26.900428460356,-8.82411584254968
KP0769_AC_WP10,WP10,WP,10,0.922811828905182,-27.6417090206984,-7.93238660870554
KP0770_AC_WP10,WP10,WP,10,1.11062156813529,-27.2477745361792,-8.10558073609637
KP0771_AC_WP10,WP10,WP,10,0.520400819012366,-27.730433965028,-8.36611374551839
KP0772_AC_WP10,WP10,WP,10,0.900102623775195,-26.8742351477947,-8.43739319178802
KP0773_AC_WP10,WP10,WP,10,0,-28.0153715175681,-8.46962456323582
KP0774_AC_WP10,WP10,WP,10,0.980457349749978,-26.7413972053157,-8.72514204442039
KP0775_HU_WP10,WP10,WP,10,0.610743327117548,-27.9123164105661,-8.47279259064371
KP0777_AC_WP10,WP10,WP,10,1.85081705100819,-29.1097856871556,-9.13644013330439
KP0778_AC_WP10,WP10,WP,10,10.9116866775633,-28.0559481040909,-10.2754310317417
KP0779_AC_WP10,WP10,WP,10,1.52067764005912,-29.3061593577854,-9.15881701168668
KP0780_AC_WP10,WP10,WP,10,10.6794576154937,-28.1957629744931,-10.3057554470415
KP0781_AC_WP10,WP10,WP,10,1.58809744344459,-28.8544500267436,-9.38781605280614
KP0782_AC_WP10,WP10,WP,10,10.2097355427893,-28.1502007156976,-10.0025869090864
KP0783_HU_WP10,WP10,WP,10,1.46070088635676,-27.6875679211557,-8.31872249842224
KP0784_AC_WP10,WP10,WP,10,10.4571172654889,-28.1387612393425,-10.2325950768525
KP0785_AC_WP10,WP10,WP,10,1.16447195597329,-27.4522712294138,-8.02988324770107
KP0786_HU_WP10,WP10,WP,10,10.6103310745091,-27.766727152013,-10.4094266482427
KP0787_AC_WP10,WP10,WP,10,11.0136633638207,-28.4301731194989,-10.3071089470671
KP0788_AC_WP10,WP10,WP,10,10.3154927388185,-28.0423365149739,-10.0899713389805
KP0789_HU_WP10,WP10,WP,10,10.8156397731607,-28.3301815320685,-10.2444962551468
KP0790_AC_WP10,WP10,WP,10,10.5530073609674,-27.9765926781201,-10.3054715118574
KP0791_AC_WP10,WP10,WP,10,10.5028163903481,-28.8739818792746,-10.2401231895272
KP0792_AC_WP10,WP10,WP,10,10.0815199813682,-27.483117777796,-10.0684669897953
KP0793_AC_WP10,WP10,WP,10,10.438285272945,-28.9175109711346,-10.5242196068018
KP0794_AC_WP10,WP10,WP,10,10.0481948609469,-27.8973901258544,-10.1096288251492
KP0795_LM_WP10,WP10,WP,10,10.0540001651356,-29.083391382016,-10.6015124011839
KP0796_AC_WP10_X,WP10,WP,10,9.80555783066546,-28.0049738504515,-10.0981341240228
KP0797_AC_WP10,WP10,WP,10,10.1614281594208,-28.9149539087956,-10.4901625833782
KP0798_HU_WP10_X,WP10,WP,10,9.87999195088333,-28.0031387023076,-10.0402295239856
KP0799_AC_WP10,WP10,WP,10,10.1047751236532,-28.7157493226022,-10.1932975579912
KP0800-X_AC_WP10,WP10,WP,10,9.77537274811417,-28.1297285884766,-9.94835806306705
KP0800_AC_WP10,WP10,WP,10,9.92155932094775,-28.005725856109,-9.96632653665557
KP0801_AC_WP10,WP10,WP,10,9.93143156648312,-28.5215449382813,-10.0976250984849
KP0802_AC_WP10,WP10,WP,10,9.72939394928784,-28.2114084759692,-10.0949383690061
KP0803_HU_WP10,WP10,WP,10,9.9317399511695,-29.1252388370891,-10.4994540514612
