Individual,Site,Loc,Depth,V1,V2,V3,V4,Clusters,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4
KP0378_AC_WP20,WP20,WP,20,-4.8522420,-1.3732725,  2.082409688, 0.799654077,Clust1,0.829834,0.000010,0.007304,0.162852
KP0410_HU_CA05,CA05,CA,05,-5.1988649,-1.7321818,  3.086921735, 0.848911703,Clust1,0.499521,0.083779,0.000010,0.416690
KP0413_HU_CA05,CA05,CA,05,-4.9571229,-0.3690351, -3.337159689, 0.290502239,Clust4,0.190532,0.000010,0.115783,0.693674
KP0414_HU_CA05,CA05,CA,05,-5.9764051,-2.2263660, -1.166597318, 1.057157713,Clust4,0.311941,0.000010,0.011128,0.676921
KP0416_HU_CA05,CA05,CA,05,-6.2871340,-1.4516517, -8.698232882, 3.271573145,Clust4,0.000015,0.000010,0.104506,0.895470
KP0417_HU_CA05,CA05,CA,05,-6.5813983,-1.7772775,  0.784433121, 2.731395861,Clust1,0.713310,0.000010,0.000010,0.286670
KP0418_HU_CA05,CA05,CA,05,-6.5865378,-1.5366546, -6.802505104, 3.494017547,Clust4,0.237887,0.000010,0.072259,0.689845
KP0420_HU_CA05,CA05,CA,05,-7.0475050,-3.0451179,-11.325459756, 3.628901936,Clust4,0.000010,0.000010,0.000010,0.999970
KP0421_HU_CA05,CA05,CA,05,-6.2486377,-3.0983896,  0.172173563,-0.340649164,Clust4,0.000010,0.000010,0.000010,0.999970
KP0423_HU_CA05,CA05,CA,05,-4.8234019,-1.3083071, -2.209780454, 1.814792887,Clust4,0.213601,0.000010,0.049568,0.736821
KP0425_HU_CA05,CA05,CA,05,-7.3197916,-3.4498500,  0.144992446, 0.121039984,Clust4,0.000010,0.000010,0.000010,0.999970
KP0426_HU_CA05,CA05,CA,05,-3.8704330, 1.3368809, -7.779719781, 2.770039542,Clust4,0.000010,0.000010,0.295014,0.704966
KP0427_HU_CA05,CA05,CA,05,-6.4159625,-2.7228266, -4.965201923, 1.581225661,Clust4,0.000010,0.000010,0.000010,0.999970
KP0428_HU_CA05,CA05,CA,05,-5.9843355,-2.2585068, -4.729496233, 1.882244953,Clust4,0.000010,0.000010,0.000010,0.999970
KP0429_HU_CA05,CA05,CA,05,-7.8821248,-3.3532914, -2.161288962, 1.301904483,Clust4,0.223878,0.000010,0.000010,0.776102
KP0432_HU_CA05,CA05,CA,05,-3.4837875, 0.6562378, -0.792645088,-0.267231688,Clust4,0.379861,0.000010,0.233725,0.386404
KP0434_HU_CA05,CA05,CA,05,-6.5468384,-1.7320404,  1.178284808,-1.892633688,Clust1,0.645369,0.000010,0.106565,0.248055
KP0435_HU_CA05,CA05,CA,05,-7.7630102,-3.8419927, -5.328971844, 1.851316572,Clust4,0.000010,0.000010,0.000010,0.999970
KP0436_HU_CA05,CA05,CA,05, 2.4853574,10.9814476, -0.204203934,-0.791694001,Clust3,0.000010,0.000010,0.999970,0.000010
KP0437_HU_CA05,CA05,CA,05, 2.6182975,11.3502254,  0.136479131,-0.419728111,Clust3,0.000010,0.000010,0.999970,0.000010
KP0438_HU_CA05,CA05,CA,05,-7.4417074,-3.5656054,  0.483792152,-0.340648281,Clust4,0.000010,0.000010,0.000010,0.999970
KP0439_HU_CA05,CA05,CA,05,-6.5418355,-1.8094385, -5.422063029, 4.297184241,Clust4,0.123895,0.000010,0.000010,0.876085
KP0442_HU_CA05,CA05,CA,05,-6.5286802,-1.7542370,  0.379807201, 2.826742998,Clust1,0.669668,0.000010,0.000010,0.330312
KP0474_AC_WP20,WP20,WP,20,-6.5392574,-2.4184370,  5.045428654, 4.164375356,Clust1,0.999970,0.000010,0.000010,0.000010
KP0540_AC_WP20,WP20,WP,20,-6.3582899,-1.4877814,  3.540410929, 1.813326314,Clust1,0.860881,0.000010,0.001996,0.137113
KP0552_AC_WP20,WP20,WP,20,-7.7648526,-4.1772348,  0.747132393,-4.091866665,Clust1,0.690293,0.000010,0.000010,0.309687
KP0582_AC_WP20,WP20,WP,20,-4.8460911, 0.6962443,  3.436410138, 2.516133737,Clust1,0.695075,0.000010,0.219424,0.085490
KP0639_LM_SB20,SB20,SB,20,-7.0177661,-3.4480098,  1.419378612,-5.576799401,Clust1,0.999970,0.000010,0.000010,0.000010
KP0739_HU_WP10,WP10,WP,10,-7.3242890,-2.7608460,  2.544654177, 2.494509218,Clust1,0.755655,0.000010,0.000010,0.244325
KP0740_HU_WP10,WP10,WP,10,-6.4376782,-2.3397604,  4.914040912, 3.765297475,Clust1,0.999970,0.000010,0.000010,0.000010
KP0744_HU_WP10,WP10,WP,10, 3.0393390,13.7024864, -1.757629144,-1.349929988,Clust3,0.000010,0.000010,0.999970,0.000010
KP0764_HU_WP10,WP10,WP,10,-7.4307539,-2.5902591,  4.853008723, 1.580449447,Clust1,0.939596,0.000010,0.000010,0.060384
KP0768_HU_WP10,WP10,WP,10, 3.0865032,13.7983438, -0.575739435,-0.779909923,Clust3,0.000010,0.000010,0.999970,0.000010
KP0770_AC_WP10,WP10,WP,10, 3.0872706,13.5408015, -1.415925908, 0.609091553,Clust3,0.000010,0.000010,0.999970,0.000010
KP0774_AC_WP10,WP10,WP,10,14.7155265,-2.8416400,  0.192063217, 0.522912046,Clust2,0.000010,0.999970,0.000010,0.000010
KP0775_AC_WP10,WP10,WP,10,16.1730125,-3.2318599, -0.079750416,-0.142473751,Clust2,0.000010,0.999970,0.000010,0.000010
KP0783_HU_WP10,WP10,WP,10,17.1145223,-2.9595139, -0.305652069, 0.236173860,Clust2,0.000010,0.999970,0.000010,0.000010
KP0785_AC_WP10,WP10,WP,10,-4.0197397, 1.7772642,  2.175179711,-0.561189243,Clust1,0.654816,0.000010,0.193519,0.151655
KP0786_HU_WP10,WP10,WP,10,-1.2686258, 5.6010671,  1.596366106, 1.336182837,Clust3,0.345286,0.000010,0.568940,0.085764
KP0789_HU_WP10,WP10,WP,10,-5.4063066,-1.7823884,  3.905151617, 3.316370367,Clust1,0.999970,0.000010,0.000010,0.000010
KP0798_HU_WP10,WP10,WP,10,-6.5008695,-1.6513356,  1.887558804, 0.864603831,Clust4,0.347653,0.000010,0.121561,0.530776
KP0803_HU_WP10,WP10,WP,10,-5.1630928,-0.6750621,  2.492183539, 1.145420846,Clust1,0.790858,0.000010,0.120369,0.088762
KP0805_HU_WP10,WP10,WP,10,-6.7542296,-1.4570713,  3.432803780, 0.577626001,Clust1,0.763265,0.000010,0.000010,0.236715
KP0814_HU_WP10,WP10,WP,10,-6.8910896,-1.9558875,  2.393032453, 1.103396140,Clust4,0.363662,0.000010,0.103153,0.533175
KP0818_HU_WP10,WP10,WP,10,17.8943866,-3.1399920,  0.337085342,-0.598678581,Clust2,0.000010,0.999970,0.000010,0.000010
KP0826_AC_WP10,WP10,WP,10, 2.9061149,12.5705617,  0.337199898,-1.481132052,Clust3,0.000010,0.000010,0.999970,0.000010
KP0827_AC_WP10,WP10,WP,10,-5.2671216, 1.0995545,  2.545357444, 0.764315308,Clust4,0.380267,0.000010,0.217428,0.402295
