Individual,Site,Loc,Depth,V1,V2,V3,V4,Clusters,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4
KP0187_AC_SQ12,SQ12,SQ,12,-2.6152865,-3.391839853,-0.042153555,-1.5031040174,Clust4,0.000010,0.000010,0.000010,0.999970
KP0188_AC_SQ12,SQ12,SQ,12,-2.0378001,-2.340296773, 0.025777864,-1.1898335118,Clust4,0.000010,0.000010,0.000010,0.999970
KP0189_AC_SQ12,SQ12,SQ,12,-2.4392634,-2.670842666, 0.662935041,-0.0205056394,Clust3,0.000010,0.129949,0.625527,0.244514
KP0190_AC_SQ12,SQ12,SQ,12,-2.3938039,-2.414067214, 0.602948247,-0.8901941056,Clust3,0.012136,0.063291,0.924562,0.000010
KP0193_AC_SQ12,SQ12,SQ,12,-1.1905871,-3.039275539,-0.227641568,-1.6858157948,Clust3,0.000010,0.000010,0.824691,0.175289
KP0196_AC_SQ12,SQ12,SQ,12,-0.7162119,-4.593443998, 1.861759040,-6.3347158413,Clust3,0.000011,0.000010,0.999969,0.000010
KP0197_AC_SQ12,SQ12,SQ,12,-0.8604549,-4.727677157, 1.633985744,-6.5962988282,Clust3,0.000010,0.000010,0.999970,0.000010
KP0198_AC_SQ12,SQ12,SQ,12,-0.7625395,-4.805835310, 1.826143231,-6.6217599624,Clust3,0.000010,0.000010,0.999970,0.000010
KP0199_AC_SQ12,SQ12,SQ,12,-0.9296232,-4.767428968, 1.662653247,-6.5166582884,Clust3,0.000010,0.000010,0.999970,0.000010
KP0200_AC_SQ12,SQ12,SQ,12,-0.7768017,-4.664829268, 1.830012528,-6.4295228719,Clust3,0.000010,0.000010,0.999970,0.000010
KP0201_AC_SQ12,SQ12,SQ,12,-0.6806526,-4.645828522, 1.846071663,-6.3745880226,Clust3,0.000140,0.000010,0.999840,0.000010
KP0202_AC_SQ12,SQ12,SQ,12,-1.6522278,-3.726317530,-0.870083952,-1.9505556411,Clust3,0.000010,0.000010,0.941753,0.058227
KP0204_AC_SQ12,SQ12,SQ,12,-1.5050201,-3.543673040,-0.702357519,-1.8734863071,Clust3,0.000010,0.000010,0.838527,0.161453
KP0208_AC_SQ12,SQ12,SQ,12,-1.4669738,-3.122717625, 0.428428984,-2.4075687952,Clust3,0.000010,0.085894,0.614551,0.299546
KP0209_AC_SQ12,SQ12,SQ,12,-1.8460411,-3.156246564, 0.218556915,-2.6194002898,Clust3,0.000010,0.129574,0.447734,0.422681
KP0212_AC_SQ20,SQ20,SQ,20,-1.7202151,-3.923160264,-0.486568056,-5.5969793046,Clust3,0.015267,0.000010,0.984713,0.000010
KP0213_AC_SQ20,SQ20,SQ,20,-1.7308051,-4.120194344,-0.659606886,-5.5978719347,Clust3,0.013951,0.000010,0.986029,0.000010
KP0214_AC_SQ20,SQ20,SQ,20,-1.6972068,-3.961550645,-0.471995495,-5.5300714691,Clust3,0.013480,0.000010,0.986500,0.000010
KP0216_AC_SQ20,SQ20,SQ,20,-1.6131733,-4.113087461,-0.743853266,-5.5082464595,Clust3,0.011087,0.000010,0.988893,0.000010
KP0217_AC_SQ20,SQ20,SQ,20,-1.7596894,-3.781560201,-0.428877425,-5.3545659919,Clust3,0.005083,0.000010,0.994897,0.000010
KP0218_AC_SQ20,SQ20,SQ,20,19.9321322, 0.541724729, 0.143411502, 0.1257096690,Clust1,0.999970,0.000010,0.000010,0.000010
KP0220_AC_SQ20,SQ20,SQ,20,-0.6329756,-3.424549269, 0.130556670,-2.3708274972,Clust3,0.000010,0.000010,0.905131,0.094849
KP0221_AC_SQ20,SQ20,SQ,20,-0.6604182,-3.334805925, 0.185196747,-2.3072738363,Clust3,0.000010,0.000010,0.887189,0.112791
KP0222_AC_SQ20,SQ20,SQ,20,-1.1456066,-1.649565100, 0.729774016,-0.2775173676,Clust3,0.000010,0.029121,0.546906,0.423963
KP0225_AC_SQ20,SQ20,SQ,20,-1.3058610,-2.027168351,-0.152261550,-0.4050199425,Clust3,0.012172,0.000010,0.690379,0.297439
KP0227_AC_SQ20,SQ20,SQ,20,-0.9244801,-1.808047322, 0.093707840,-0.4757933951,Clust3,0.031857,0.000010,0.787585,0.180548
KP0229_AC_SQ20,SQ20,SQ,20,-0.8130582,-2.082767413, 0.142267901,-0.8503161637,Clust3,0.022022,0.057570,0.508360,0.412048
KP0233_AC_SQ20,SQ20,SQ,20,-1.1825099,-0.857063075, 0.817334497,-0.0462294859,Clust4,0.000010,0.124146,0.391213,0.484631
KP0235_AC_SQ20,SQ20,SQ,20,14.1746473, 0.820726483,-0.128339852,-0.0157017064,Clust1,0.991636,0.000010,0.000010,0.008344
KP0236_AC_SQ20,SQ20,SQ,20,-1.8982941,-2.481884960, 0.188674243,-2.3693071536,Clust3,0.007137,0.208286,0.457086,0.327491
KP0237_AC_SQ20,SQ20,SQ,20,-2.9115273,-2.005448437,-0.971484043, 0.1583591823,Clust3,0.000010,0.089579,0.749519,0.160891
KP0238_AC_SQ20,SQ20,SQ,20,-2.1583544,-1.731125039,-0.420334828, 0.0871907264,Clust3,0.000010,0.021660,0.722715,0.255614
KP0240_AC_SQ20,SQ20,SQ,20,-2.9599657,-2.010468881,-0.937187743, 0.1755664786,Clust3,0.000010,0.089918,0.737161,0.172910
KP0241_AC_SQ20,SQ20,SQ,20,20.1044189, 0.236197338, 0.269017236,-0.0773107429,Clust1,0.944311,0.000010,0.055669,0.000010
KP0242_AC_SQ20,SQ20,SQ,20,-1.4428573,-2.599316320,-0.089422919,-0.9088872401,Clust3,0.005671,0.007691,0.755010,0.231628
KP0243_AC_SQ20,SQ20,SQ,20,19.9591387, 0.256244508,-0.072305654,-0.3086530992,Clust1,0.956587,0.004494,0.038909,0.000010
KP0244_LM_SQ20,SQ20,SQ,20,-0.5993619,-2.106974028, 0.491248860,-0.0594147974,Clust3,0.000010,0.023828,0.976152,0.000010
KP0246_AC_SQ20,SQ20,SQ,20,18.3156678, 0.285942592,-0.262220050, 0.4866069017,Clust1,0.999970,0.000010,0.000010,0.000010
KP0247_AC_SQ20,SQ20,SQ,20,19.9839844, 0.405858672,-0.236549470, 0.3398163230,Clust1,0.999970,0.000010,0.000010,0.000010
KP0250_AC_SQ20,SQ20,SQ,20,-1.5552683,-3.043657990, 0.875597519,-0.9058176824,Clust3,0.000010,0.000010,0.999970,0.000010
KP0251_AC_SQ20,SQ20,SQ,20,-1.7031013,-3.683513099, 1.154478004,-0.5609490816,Clust3,0.000010,0.115808,0.884172,0.000010
KP0255_AC_SQ20,SQ20,SQ,20,20.2083179, 0.212360139,-0.012138935, 0.3791044616,Clust1,0.999970,0.000010,0.000010,0.000010
KP0256_AC_SQ20,SQ20,SQ,20,19.9427588, 0.246687133, 0.039753938, 0.2811546335,Clust1,0.999970,0.000010,0.000010,0.000010
KP0257_AC_SQ20,SQ20,SQ,20,-1.2320271,-4.597205272,-2.812440144,-3.2441772699,Clust4,0.003666,0.000010,0.000010,0.996314
KP0258_AC_SQ20,SQ20,SQ,20,-1.8194280,-4.498091991,-2.706624346,-3.3791417944,Clust4,0.000010,0.000010,0.000010,0.999970
KP0259_AC_SQ20,SQ20,SQ,20,19.0916961,-0.069771031, 0.251074044, 0.0587489799,Clust1,0.991069,0.000010,0.008911,0.000010
KP0260_AC_SQ20,SQ20,SQ,20,-2.0175886,-4.183894848,-2.338466266,-2.8313744345,Clust4,0.000010,0.000010,0.000010,0.999970
KP0261_AC_SQ20,SQ20,SQ,20,-2.0411993,-4.788541969,-2.975918319,-3.6046606336,Clust4,0.000010,0.000010,0.000010,0.999970
KP0262_AC_SQ20,SQ20,SQ,20,-1.8139414,-4.543863071,-2.675480605,-3.4709745109,Clust4,0.000010,0.000010,0.000010,0.999970
KP0264_AC_SQ20,SQ20,SQ,20,-1.9491204,-2.881200837,-1.656147496,-1.4463685940,Clust4,0.000010,0.031124,0.139763,0.829103
KP0268_AC_SQ20,SQ20,SQ,20,-1.5624394,-2.717553992,-1.540069958,-1.3433873336,Clust4,0.000010,0.000010,0.285185,0.714795
KP0269_AC_SQ20,SQ20,SQ,20,-1.8533488,-3.134222023,-1.689173154,-1.3205179950,Clust4,0.000010,0.000010,0.260332,0.739648
KP0271_AC_SQ20,SQ20,SQ,20,-1.8437240,-3.182043322,-1.723479839,-1.2951501332,Clust4,0.000010,0.000010,0.270783,0.729197
KP0272_AC_SQ20,SQ20,SQ,20,-1.4920128,-5.054215430, 0.171763658,-4.1491027691,Clust3,0.000010,0.000010,0.999970,0.000010
KP0273_AC_SQ20,SQ20,SQ,20,-1.2423750,-4.578936839, 0.275024901,-3.7750077671,Clust3,0.000010,0.000010,0.999970,0.000010
KP0274_AC_SQ20,SQ20,SQ,20,-1.5414393,-4.946973586, 0.259725261,-3.9548129148,Clust3,0.000010,0.000010,0.999970,0.000010
KP0275_AC_SQ20,SQ20,SQ,20,-1.6172835,-5.010466975, 0.295052920,-4.0663422116,Clust3,0.000010,0.000010,0.999970,0.000010
KP0276_AC_SQ20,SQ20,SQ,20,-1.5513832,-5.060707376, 0.478682945,-4.0853177951,Clust3,0.000010,0.000010,0.999970,0.000010
KP0277_AC_SQ20,SQ20,SQ,20,-1.4974609,-4.938355553, 0.622253781,-3.8625849149,Clust3,0.000010,0.000010,0.999970,0.000010
KP0279_AC_SQ20,SQ20,SQ,20,-1.4089357,-2.481313917,-0.043420828, 0.5284776099,Clust3,0.000010,0.120955,0.879025,0.000010
KP0280_AC_SQ20,SQ20,SQ,20,-0.7390809,-2.228643238,-0.538341072, 0.5011369294,Clust3,0.000010,0.080966,0.919014,0.000010
KP0281_AC_SQ20,SQ20,SQ,20,-1.0913535,-2.113769092,-0.065264942, 0.6185695806,Clust3,0.000010,0.123082,0.876898,0.000010
KP0283_AC_SQ20,SQ20,SQ,20,-2.7566143,-3.601635348,-0.290624911,-0.8084469030,Clust3,0.000010,0.000010,0.565767,0.434213
KP0284_AC_SQ20,SQ20,SQ,20,-2.7633463,-3.592951539,-0.235741202,-0.8021157069,Clust3,0.000010,0.000010,0.541284,0.458696
KP0289_AC_WP20,WP20,WP,20,-2.1716075, 3.677953829,-0.106721989, 0.4561444685,Clust2,0.020472,0.924876,0.000010,0.054641
KP0291_AC_WP20,WP20,WP,20,-1.3859973, 3.233873451, 1.223598189, 0.3110076362,Clust2,0.035046,0.932965,0.031979,0.000010
KP0292_AC_WP20,WP20,WP,20,-2.2431093, 3.426087291, 0.761882131,-0.9816195910,Clust2,0.000010,0.999970,0.000010,0.000010
KP0294_AC_WP20,WP20,WP,20,-2.3111866, 2.152196354,-0.032545126,-0.1465660249,Clust2,0.000010,0.791222,0.121657,0.087111
KP0296_AC_WP20,WP20,WP,20,-2.8155054, 4.459355496,-0.090906285, 0.4301692326,Clust2,0.013607,0.986373,0.000010,0.000010
KP0299_AC_WP20,WP20,WP,20,-2.6683640, 4.298765977,-0.228277297, 0.5227901200,Clust2,0.018985,0.980995,0.000010,0.000010
KP0300_AC_WP20,WP20,WP,20,-2.4392754, 4.290152059,-0.296455450, 0.6386437793,Clust2,0.023722,0.976258,0.000010,0.000010
KP0301_AC_WP20,WP20,WP,20,-2.4490689, 2.492812791, 0.148172969, 0.2809132711,Clust2,0.000010,0.938434,0.061546,0.000010
KP0303_AC_WP20,WP20,WP,20,-1.4788122, 3.979442255, 0.612157650, 0.6696859821,Clust2,0.000010,0.999970,0.000010,0.000010
KP0304_AC_WP20,WP20,WP,20,-2.2758594, 4.902997174, 0.245375983, 0.3632685040,Clust2,0.000010,0.999970,0.000010,0.000010
KP0305_AC_WP20,WP20,WP,20,-1.2923842, 3.620052868, 0.543092680, 1.4251157233,Clust2,0.000010,0.970079,0.029901,0.000010
KP0311_AC_WP20,WP20,WP,20,21.4193440, 0.131320133,-0.664753533,-0.3319240154,Clust1,0.999970,0.000010,0.000010,0.000010
KP0314_AC_WP20,WP20,WP,20,-2.9147420, 2.592980780, 0.276312127,-0.5108293845,Clust2,0.000010,0.988935,0.011045,0.000010
KP0317_AC_WP20,WP20,WP,20,-1.7925405, 1.469002469,-0.672713688,-0.1873733642,Clust2,0.000010,0.666750,0.151266,0.181973
KP0323_AC_WP20,WP20,WP,20,-2.6124154, 3.080677858,-0.039343402,-3.5568429719,Clust2,0.000010,0.997733,0.002247,0.000010
KP0324_AC_WP20,WP20,WP,20,-2.4237100, 2.992521269,-0.024602582,-3.3971650563,Clust2,0.000010,0.990860,0.009120,0.000010
KP0325_AC_WP20,WP20,WP,20,-1.8499949, 2.637759809,-0.069692987,-2.2272543868,Clust2,0.000010,0.999970,0.000010,0.000010
KP0326_AC_WP20,WP20,WP,20,-2.8089219, 2.435859784, 0.624613864, 0.7832001260,Clust2,0.000010,0.851490,0.031384,0.117116
KP0327_AC_WP20,WP20,WP,20,-1.7781429, 2.547847516, 0.087531477,-3.1688518253,Clust2,0.000010,0.922869,0.077111,0.000010
KP0329_AC_WP20,WP20,WP,20,-2.6307582, 2.971983091, 0.449391904, 0.0478831004,Clust2,0.000010,0.905949,0.000010,0.094031
