Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4,Clusters,Taxa,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4,taxaQ.Clust1,taxaQ.Clust2
KP0396_AC_WP20,WP20,WP,20,-9.09527778, 0.07578939,-1.812850e-01,-0.280371642,Clust1,Clust1,0.999962,0.000018,0.000010,0.000010,0.999990,0.000010
KP0399_LM_WP20,WP20,WP,20,-8.67566508, 0.19183083,-7.349886e-06,-0.133247660,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0405_AC_WP20,WP20,WP,20, 1.47211912, 0.80029071, 1.426861e-01,-0.095853969,Clust2,Clust2,0.000010,0.881362,0.000010,0.118618,0.000010,0.999990
KP0406_NA_NANA,WP20,WP,20, 1.12573543, 1.39498583, 1.608138e-01,-0.743486353,Clust2,Clust2,0.000010,0.976978,0.000010,0.023002,0.000010,0.999990
KP0407_AC_CA05,CA05,CA,5, 0.86220637,-0.83312471, 1.081556e+00,-0.620668696,Clust4,Clust2,0.000010,0.031340,0.108123,0.860528,0.000010,0.999990
KP0408_AC_CA05,CA05,CA,5, 1.08257150,-0.82272119, 1.275395e+00, 0.822771797,Clust4,Clust2,0.001276,0.098121,0.000010,0.900593,0.013195,0.986805
KP0409_AC_CA05,CA05,CA,5, 0.77587973,-1.18428176, 1.386827e+00,-0.081235236,Clust4,Clust2,0.000010,0.000010,0.328793,0.671187,0.000010,0.999990
KP0424_AC_CA05,CA05,CA,5, 1.42599315,-1.47313495, 1.856359e+00, 0.283393530,Clust4,Clust2,0.000010,0.000010,0.000010,0.999970,0.000010,0.999990
KP0431_HU_CA05,CA05,CA,5, 0.83453729,-0.50327048, 1.464141e+00,-0.522534934,Clust4,Clust2,0.000010,0.153856,0.000010,0.846124,0.000010,0.999990
KP0441_AC_CA05,CA05,CA,5, 0.86106887,-0.37906048, 1.589911e+00,-0.031617897,Clust4,Clust2,0.000010,0.235031,0.000010,0.764949,0.000010,0.999990
KP0450_AC_WP20,WP20,WP,20, 1.44601596, 1.56629300,-2.561263e-01, 0.357792702,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0452_AC_WP20,WP20,WP,20,-8.88676399, 0.47657037, 1.581544e-01, 0.216739342,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0454_AC_WP20,WP20,WP,20, 1.26727853, 1.53802714, 1.478856e-01, 0.306702817,Clust2,Clust2,0.000010,0.974499,0.000010,0.025481,0.000010,0.999990
KP0457_AC_WP20,WP20,WP,20, 1.42924417, 1.24324550,-2.614407e-01,-0.970301080,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0462_AC_WP20,WP20,WP,20, 1.21482756, 1.58734045,-3.616516e-01, 1.691424776,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0463_AC_WP20,WP20,WP,20,-5.93511469, 0.45767927,-6.159754e-02, 0.054824836,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0464_AC_WP20,WP20,WP,20, 0.86950615, 1.22487767,-4.526281e-02, 0.140658783,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0468_AC_WP20,WP20,WP,20, 1.72359806, 1.37594543, 9.237602e-01, 1.087150864,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0470_AC_WP20,WP20,WP,20, 1.11063392, 1.06929174, 3.075094e-01,-0.090863911,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0471_AC_WP20,WP20,WP,20, 1.60710307, 1.02566697, 4.376063e-01, 0.557574391,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0477_AC_WP20,WP20,WP,20, 0.78733907, 0.60001183, 5.636981e-01,-0.800066811,Clust2,Clust2,0.000010,0.876161,0.000010,0.123819,0.000010,0.999990
KP0479_AC_WP20,WP20,WP,20, 0.83542071, 1.38855631,-4.962886e-01,-0.094017825,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0481_AC_WP20,WP20,WP,20, 1.51903166, 1.84893142, 5.988754e-02,-0.250373674,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0484_AC_WP20,WP20,WP,20, 0.79539328, 1.34405905,-3.907841e-01,-0.134994347,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
