Individuals,Clusters,Assignment,pop
KP0604_AC_SB20,Clust1,1e-05,SB20
KP0607_AC_SB20,Clust1,0.999964,SB20
KP0608_AC_SB20,Clust1,1e-05,SB20
KP0611_LM_SB20,Clust1,1e-05,SB20
KP0625_AC_SB20,Clust1,0.012092,SB20
KP0626_AC_SB20,Clust1,1e-05,SB20
KP0636_AC_SB20,Clust1,0.024411,SB20
KP0638_AC_SB20,Clust1,1e-05,SB20
KP0640_AC_SB20,Clust1,1e-05,SB20
KP0643_AC_SB20,Clust1,1e-05,SB20
KP0645_AC_SB20,Clust1,1e-05,SB20
KP0646_AC_SB20,Clust1,1e-05,SB20
KP0647_AC_SB20,Clust1,1e-05,SB20
KP0648_AC_SB20,Clust1,0.035482,SB20
KP0649_AC_SB20,Clust1,1e-05,SB20
KP0652_AC_SB20,Clust1,1e-05,SB20
KP0654_AC_SB20,Clust1,1e-05,SB20
KP0660_AC_SB20,Clust1,1e-05,SB20
KP0661_AC_SB20,Clust1,1e-05,SB20
KP0662_AC_SB20,Clust1,1e-05,SB20
KP0665_AC_SB20,Clust1,1e-05,SB20
KP0667_AC_SB20,Clust1,0.009142,SB20
KP0668_AC_SB20,Clust1,0.023206,SB20
KP0669_AC_SB20,Clust1,1e-05,SB20
KP0678_AC_SB20,Clust1,0.99997,SB20
KP0679_AC_SB20,Clust1,1e-05,SB20
KP0686_AC_SB20,Clust1,1e-05,SB20
KP0688_AC_SB20,Clust1,1e-05,SB20
KP0690_AC_SB20,Clust1,0.99997,SB20
KP0691_AC_SB20,Clust1,1e-05,SB20
KP0696_AC_SB20,Clust1,0.999968,SB20
KP0698_AC_SB20,Clust1,1e-05,SB20
KP0703_AC_SB20,Clust1,1e-05,SB20
KP0704_AC_SB20,Clust1,1e-05,SB20
KP0708_AC_SB20,Clust1,1e-05,SB20
KP0711_AC_SB20,Clust1,1e-05,SB20
KP0712_AC_SB20,Clust1,1e-05,SB20
KP0714_AC_SB20,Clust1,1e-05,SB20
KP0717_AC_SB20,Clust1,1e-05,SB20
KP0720_AC_SB20,Clust1,1e-05,SB20
KP0724_AC_SB20,Clust1,1e-05,SB20
KP0727_AC_SB20,Clust1,1e-05,SB20
KP0730_AC_SB20,Clust1,1e-05,SB20
KP0734_AC_SB20,Clust1,0.000911,SB20
KP0742_AC_WP10,Clust1,1e-05,WP10
KP0746_AC_WP10,Clust1,1e-05,WP10
KP0747_AC_WP20,Clust1,1e-05,WP20
KP0748_AC_WP10,Clust1,1e-05,WP10
KP0749_AC_WP20,Clust1,1e-05,WP20
KP0751_AC_WP10,Clust1,1e-05,WP10
KP0753_AC_WP10,Clust1,1e-05,WP10
KP0757_AC_WP10,Clust1,1e-05,WP10
KP0758_AC_WP10,Clust1,1e-05,WP10
KP0760_AC_WP10,Clust1,1e-05,WP10
KP0761_AC_WP10,Clust1,1e-05,WP10
KP0767_AC_WP10,Clust1,1e-05,WP10
KP0769_AC_WP10,Clust1,0.99997,WP10
KP0771_AC_WP10,Clust1,1e-05,WP10
KP0773_AC_WP10,Clust1,1e-05,WP10
KP0777_AC_WP10,Clust1,1e-05,WP10
KP0779_AC_WP10,Clust1,1e-05,WP10
KP0787_AC_WP10,Clust1,1e-05,WP10
KP0792_AC_WP10,Clust1,1e-05,WP10
KP0793_AC_WP10,Clust1,1e-05,WP10
KP0794_AC_WP10,Clust1,1e-05,WP10
KP0797_AC_WP10,Clust1,1e-05,WP10
KP0799_AC_WP10,Clust1,1e-05,WP10
KP0802_AC_WP10,Clust1,1e-05,WP10
KP0808_AC_WP10,Clust1,0.008395,WP10
KP0811_AC_WP10,Clust1,1e-05,WP10
KP0812_AC_WP10,Clust1,1e-05,WP10
KP0815_AC_WP10,Clust1,1e-05,WP10
KP0822_AC_WP10,Clust1,1e-05,WP10
KP0823_AC_WP10,Clust1,1e-05,WP10
KP0828_AC_WP10,Clust1,1e-05,WP10
KP0830_AC_WP10,Clust1,1e-05,WP10
KP0835_AC_WP10,Clust1,1e-05,WP10
KP0837_AC_WP10,Clust1,1e-05,WP10
KP0844_UN_NANA,Clust1,1e-05,WP10
KP0857_AC_WP10,Clust1,1e-05,WP10
KP0861_AC_WP10,Clust1,1e-05,WP10
KP0866_AC_WP10,Clust1,1e-05,WP10
KP0871_AC_WP10,Clust1,1e-05,WP10
KP0879_AC_WP10,Clust1,1e-05,WP10
KP0880_HU_WP10,Clust1,1e-05,WP10
KP0881_AC_WP10,Clust1,1e-05,WP10
KP0882_AC_WP10,Clust1,1e-05,WP10
KP0883_AC_WP10,Clust1,1e-05,WP10
KP0884_AC_WP10,Clust1,1e-05,WP10
KP0887_AC_WP10,Clust1,1e-05,WP10
KP0895_AC_WP10,Clust1,0.008149,WP10
KP0897_AC_WP10,Clust1,0.005311,WP10
KP0898_AC_WP10,Clust1,1e-05,WP10
KP0909_AC_WP10,Clust1,0.003751,WP10
KP0912_AC_WP10,Clust1,1e-05,WP10
KP0913_AC_WP10,Clust1,1e-05,WP10
KP0915_AC_WP10,Clust1,1.2e-05,WP10
KP0916_AC_WP10,Clust1,1.6e-05,WP10
KP0917_AC_WP10,Clust1,1e-05,WP10
KP0918_AC_WP10,Clust1,1e-05,WP10
KP0919_AC_WP10,Clust1,1e-05,WP10
KP0926_AC_WP10,Clust1,1e-05,WP10
KP0928_AC_WP10,Clust1,1e-05,WP10
KP0930_AC_WP10,Clust1,1e-05,WP10
KP0931_AC_WP10,Clust1,1e-05,WP10
KP0932_AC_WP10,Clust1,1e-05,WP10
KP0933_AC_WP10,Clust1,1e-05,WP10
KP0934_AC_WP10,Clust1,1e-05,WP10
KP0936_AC_WP10,Clust1,1e-05,WP10
KP0937_AC_WP10,Clust1,1e-05,WP10
KP0938_HU_WP10,Clust1,0.99997,WP10
KP0940_AC_WP10,Clust1,1e-05,WP10
KP0942_AC_WP10,Clust1,1e-05,WP10
KP0945_AC_WP10,Clust1,1e-05,WP10
KP0947_AC_WP10,Clust1,0.002975,WP10
KP0950_AC_WP05,Clust1,1e-05,WP05
KP0953_AC_WP10,Clust1,1e-05,WP10
KP0962_AC_WP05,Clust1,1e-05,WP05
KP0965_AC_WP05,Clust1,1e-05,WP05
KP0966_AC_WP05,Clust1,1e-05,WP05
KP0967_HU_WP05,Clust1,1e-05,WP05
KP0974_AC_WP05,Clust1,1e-05,WP05
KP0977_AC_WP05,Clust1,1e-05,WP05
KP0978_AC_WP05,Clust1,1e-05,WP05
KP0981_AC_WP05,Clust1,1e-05,WP05
KP0982_AC_WP05,Clust1,1e-05,WP05
KP0992_AC_CA10,Clust1,1e-05,CA10
KP0993_AC_CA10,Clust1,1e-05,CA10
KP0999_AC_CA10,Clust1,1e-05,CA10
KP1002_AC_WP10,Clust1,1e-05,WP10
KP1009_AC_CA10,Clust1,1e-05,CA10
KP1011_AC_CA10,Clust1,1e-05,CA10
KP1012_AC_CA10,Clust1,1e-05,CA10
KP1015_AC_CA10,Clust1,1e-05,CA10
KP1019_AC_CA10,Clust1,1e-05,CA10
KP1021_AC_CA10,Clust1,1e-05,CA10
KP1022_AC_CA10,Clust1,1e-05,CA10
KP1028_AC_CA10,Clust1,1e-05,CA10
KP1029_AC_CA10,Clust1,1e-05,CA10
KP1030_AC_CA10,Clust1,1e-05,CA10
KP1032_AC_CA10,Clust1,1e-05,CA10
KP1045_AC_CA10,Clust1,0.99997,CA10
KP1046_AC_CA10,Clust1,1e-05,CA10
KP1047_AC_CA10,Clust1,1e-05,CA10
KP1052_AC_CA10,Clust1,1e-05,CA10
KP1053_AC_CA10,Clust1,0.001906,CA10
KP1062_AC_CA20,Clust1,1e-05,CA20
KP1066_AC_CA20,Clust1,1e-05,CA20
KP1067_AC_CA20,Clust1,1e-05,CA20
KP1069_AC_CA20,Clust1,1e-05,CA20
KP1070_AC_CA20,Clust1,1e-05,CA20
KP1076_AC_CA20,Clust1,1e-05,CA20
KP1077_AC_CA20,Clust1,1e-05,CA20
KP1081_AC_CA20,Clust1,1e-05,CA20
KP1088_AC_CA20,Clust1,1e-05,CA20
KP1089_AC_CA20,Clust1,1e-05,CA20
KP1097_AC_CA20,Clust1,1e-05,CA20
KP1104_AC_CA20,Clust1,1e-05,CA20
KP1107_AC_CA20,Clust1,1e-05,CA20
KP1115_AC_CA20,Clust1,1e-05,CA20
KP1120_AC_CA20,Clust1,1e-05,CA20
KP1121_AC_CA20,Clust1,0.99997,CA20
KP1125_AC_CA20,Clust1,1e-05,CA20
KP1128_AC_CA20,Clust1,1e-05,CA20
KP1132_AC_CA20,Clust1,0.99997,CA20
KP1134_AC_CA20,Clust1,1e-05,CA20
KP1135_AC_CA20,Clust1,0.010243,CA20
KP1137_AC_CA20,Clust1,1e-05,CA20
KP1139_LM_CA20,Clust1,1e-05,CA20
KP1140_AC_CA20,Clust1,1e-05,CA20
KP1141_AC_CA20,Clust1,0.034812,CA20
KP1143_AC_CA20,Clust1,1e-05,CA20
KP1147_AC_CA20,Clust1,0.99997,CA20
KP1148_AC_CA20,Clust1,1e-05,CA20
KP1149_AC_CA20,Clust1,0.002562,CA20
KP1150_AC_CA20,Clust1,1e-05,CA20
