Individual,Species,Population,Loc,Site,Depth,PC1,PC2,PC3,PC4,PC5,PC6,Clusters,Taxa,taxaQ.Clust1,taxaQ.Clust2,taxaQ.Clust3,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4
KP0211_AC_SQ12,AA,AC_SQ12,SQ,SQ12,10-12,  0.42220724, 8.1974471,-1.510855e-01, 1.6934036679, 6.816178e-02,-6.305737e-02,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0214_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,  3.47936509,-2.4990345,-5.214644e-01,-0.0276455286, 5.490244e-02, 5.068803e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0218_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,  3.17475470,-2.0409419, 3.314151e+00, 0.0874008268, 1.760490e-02,-2.652576e-02,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0220_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,  3.49614355,-2.5653904, 6.644872e-02, 0.0262384227,-8.206482e-02, 6.968364e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0222_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,  3.39527611,-2.3302000,-1.911981e-01,-0.0269721245,-1.046260e-01, 7.812878e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0225_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,  3.44990010,-2.4083425,-2.777710e-01,-0.0069459381,-6.151948e-03,-1.479084e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0229_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,  3.44411820,-2.4693936,-1.766556e-01,-0.0068811876, 4.674559e-03, 2.329767e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0235_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,  2.20856161,-1.6571672, 2.261454e+00, 0.1692947311, 8.491150e-02,-4.668637e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0236_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,  3.23471031,-2.3195906,-1.333577e-01,-0.0100109472,-3.828466e-02, 1.478887e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0237_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,  3.39561413,-2.4158306,-3.073227e-01,-0.0152637492, 9.293758e-03, 3.770781e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
