,Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4
KP0973_HU_WP05,KP0973_HU_WP05,WP05,WP,5,15.125316449721,-3.43705259143886,-0.027623355186572,0.178265979016395
KP0979_HU_WP05,KP0979_HU_WP05,WP05,WP,5,15.0805638650153,-3.47856771792153,-0.300307797477555,-0.398925242271488
KP0980_HU_WP05,KP0980_HU_WP05,WP05,WP,5,14.735686247801,-3.0523595975853,0.167574926079746,-0.29110824936245
KP0984_HU_WP05,KP0984_HU_WP05,WP05,WP,5,0.456849766959401,6.504799608223,0.608758213474869,0.484717723664291
KP0985_AC_WP05,KP0985_AC_WP05,WP05,WP,5,15.2593991931699,-3.34779042365643,0.306182733906769,-0.0599876271884243
KP0986_HU_WP05,KP0986_HU_WP05,WP05,WP,5,15.4655807869823,-2.92936114133892,0.11633482619966,0.186569489167445
KP0987_HU_WP05,KP0987_HU_WP05,WP05,WP,5,15.0316875793474,-3.0450378481067,-0.138384213308956,0.176096410078661
KP0989_HU_WP05,KP0989_HU_WP05,WP05,WP,5,15.6583285423652,-3.1694830854698,-0.209006922772267,0.139047212121857
KP1003_HU_CA10,KP1003_HU_CA10,CA10,CA,10-12,-7.02754339998996,-2.11889483343085,-8.62425469598423,1.45327012544211
KP1005_HU_CA10,KP1005_HU_CA10,CA10,CA,10-12,-7.01245326104459,-2.17975654050194,-8.67330722164931,1.41970296156074
KP1033_HU_CA10,KP1033_HU_CA10,CA10,CA,10-12,-5.88096132881393,-1.67504067377246,-5.57450446187907,1.18101312446324
KP1034_HU_CA10,KP1034_HU_CA10,CA10,CA,10-12,-6.24714161139421,-2.55894465809803,-5.25966389253897,0.108858315703271
KP1036_UN_CA10,KP1036_UN_CA10,CA10,CA,10-12,-6.29635337103115,-2.57624606171722,-5.35494399327636,0.0975970548167394
KP1037_HU_CA10,KP1037_HU_CA10,CA10,CA,10-12,-3.85215596676882,1.07197054944816,-0.626407353996525,0.708730700917592
KP1039_HU_CA10,KP1039_HU_CA10,CA10,CA,10-12,-6.74895725869557,-2.46762795926016,-0.370390676099362,-1.34934270090081
KP1041_HU_CA10,KP1041_HU_CA10,CA10,CA,10-12,-2.29441217734161,1.86681843602188,-1.4900289535767,0.577859284223891
KP1074_AC_CA20,KP1074_AC_CA20,CA20,CA,20,-6.74311146015841,-2.70896524960663,1.95259733910493,-2.85521345938013
KP1084_AC_CA20,KP1084_AC_CA20,CA20,CA,20,-5.83503171811422,-1.11756011124605,0.189028440017509,3.26209290745968
KP1086_HU_CA20,KP1086_HU_CA20,CA20,CA,20,-5.82983937349402,-1.25581318457134,0.13080250531857,3.05139931529602
KP1116_AC_CA20,KP1116_AC_CA20,CA20,CA,20,-6.99939972796713,-2.77706825046911,-0.0907326683544309,-0.445370106871888
KP1153_UN_CA20,KP1153_UN_CA20,CA20,CA,20,-5.72809943081743,-0.944991042004009,-3.56777219109464,1.85438864295378
KP1159_UN_CA20,KP1159_UN_CA20,CA20,CA,20,-5.91223515694488,-1.7146567973087,2.40231132714689,1.5031549357031
KP1162_AC_CA20,KP1162_AC_CA20,CA20,CA,20,-5.5026809076533,-1.01844258796131,-2.31154361993319,1.59445353315465
KX0075_HU_SB10,KX0075_HU_SB10,SB10,SB,10-12,-4.86529625655156,0.308920525361991,-0.0283487623749766,-3.09091592586739
