,Individual,Species,Population,Loc,Site,Depth,PC1,PC2,PC3,PC4,PC5,PC6
KP0236_AC_SQ20,KP0236_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,3.23471030876444,-2.31959055842969,-0.133357714712635,-0.0100109471861309,-0.0382846566498714,0.147888742699395
KP0237_AC_SQ20,KP0237_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,3.39561412811988,-2.41583064076081,-0.307322688719318,-0.0152637492028526,0.00929375759808619,0.377078113686118
KP0241_AC_SQ20,KP0241_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,3.31175967952177,-2.11799284861389,3.581217473639,0.157433853859825,0.0119456042269416,-0.353379337268325
KP0242_AC_SQ20,KP0242_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,3.41194120000367,-2.36481349829524,-0.178482739803748,-0.0118742206112579,-0.0680235836085227,0.367374562339582
KP0243_AC_SQ20,KP0243_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,3.07703283484922,-2.08608038906908,3.08911711492835,0.0426792938662898,0.0801913395803545,-0.195371357731095
KP0247_AC_SQ20,KP0247_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,3.10936523391774,-2.00075284588731,3.23284993364337,0.0866088224318732,0.111391389593787,-0.388014558584195
KP0249_LM_SQ20,KP0249_LM_SQ20,AL,LM_SQ20,SQ,SQ20,20,-11.1747232351528,-2.11910930464247,-0.0790849535031569,0.211818584543974,-1.25263980300105,0.0954467999118413
KP0251_AC_SQ20,KP0251_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,3.39892065809898,-2.30649019415814,-0.338812838345194,0.00715443268926698,0.0892901577358351,0.265119201194561
KP0252_LM_SQ20,KP0252_LM_SQ20,AL,LM_SQ20,SQ,SQ20,20,-11.289442607178,-2.01029870676163,0.0468875741210729,0.0574489266139882,-0.97590611078305,0.0164927859680321
KP0254_LM_SQ20,KP0254_LM_SQ20,AL,LM_SQ20,SQ,SQ20,20,-11.457665514015,-2.11619493440851,0.0494071593067485,-0.0194470003099005,1.80199962563218,-0.00421671005545091
KP0255_AC_SQ20,KP0255_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,3.20171277640308,-2.16776515572081,3.34185388343886,0.148483599483613,0.0208305243866858,-0.281288544173786
KP0257_AC_SQ20,KP0257_AC_SQ20,AA,AC_SQ20,SQ,SQ20,20,3.0317429487648,-1.06190600525479,-0.574791827412434,0.171248321012438,0.0178147484471368,1.44490051258132
