,Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4
KP0405_AC_WP20,KP0405_AC_WP20,WP20,WP,20,1.47211912043921,0.800290705970261,0.142686138929597,-0.0958539690282438
KP0406_NA_NANA,KP0406_NA_NANA,WP20,WP,20,1.12573543299242,1.39498582574878,0.160813839395751,-0.743486353237089
KP0407_AC_CA05,KP0407_AC_CA05,CA05,CA,5,0.862206365443731,-0.833124709847549,1.08155566962491,-0.620668696456809
KP0408_AC_CA05,KP0408_AC_CA05,CA05,CA,5,1.08257149884659,-0.822721188639069,1.27539538049266,0.822771797299535
KP0409_AC_CA05,KP0409_AC_CA05,CA05,CA,5,0.775879733936398,-1.18428176100188,1.38682733208247,-0.0812352360019189
KP0424_AC_CA05,KP0424_AC_CA05,CA05,CA,5,1.42599314528637,-1.47313495199382,1.85635882067431,0.283393530467455
KP0431_HU_CA05,KP0431_HU_CA05,CA05,CA,5,0.834537286991848,-0.503270479399661,1.46414134533336,-0.522534933511935
KP0441_AC_CA05,KP0441_AC_CA05,CA05,CA,5,0.861068869530392,-0.379060482527089,1.58991111335956,-0.0316178966114707
KP0450_AC_WP20,KP0450_AC_WP20,WP20,WP,20,1.44601595616527,1.56629300439972,-0.256126257310485,0.357792701619368
KP0452_AC_WP20,KP0452_AC_WP20,WP20,WP,20,-8.88676399384334,0.476570370836327,0.158154445049225,0.216739342446944
KP0454_AC_WP20,KP0454_AC_WP20,WP20,WP,20,1.26727852994492,1.53802714237821,0.147885575163782,0.306702816801519
KP0457_AC_WP20,KP0457_AC_WP20,WP20,WP,20,1.42924417053526,1.24324550200442,-0.261440746110326,-0.970301079685611
KP0462_AC_WP20,KP0462_AC_WP20,WP20,WP,20,1.21482755918876,1.58734045360924,-0.361651569019849,1.69142477616714
KP0463_AC_WP20,KP0463_AC_WP20,WP20,WP,20,-5.93511469374552,0.457679265384716,-0.0615975436347741,0.0548248356807024
KP0464_AC_WP20,KP0464_AC_WP20,WP20,WP,20,0.869506153174762,1.22487767196237,-0.0452628108216598,0.140658783295306
